tconst,primaryTitle,category,averageRating,employee,runtimeMinutes,ProductionCompanies,profit_ratio
tt0283026,Swimfan,director,5.0,John Polson,85,"Twentieth Century Fox Film Corporation, Greenestreet Films, Cobalt Media Group, Furthur Films, Forrest Films",3
tt0302886,Old School,actress,7.0,Ellen Pompeo,88,"DreamWorks SKG, The Montecito Picture Company",2
tt0322802,Jackass: The Movie,self,7.0,Chris Pontius,85,"Paramount Pictures, MTV Films, Dickhouse Productions, Lynch Siderow Productions",11
tt0293815,Friday After Next,writer,6.0,DJ Pooh,85,New Line Cinema,0
tt0290332,The Wash,director,5.0,DJ Pooh,93,LionsGate,0
tt0422295,Fur: An Imaginary Portrait of Diane Arbus,cinematographer,6.0,Bill Pope,122,"River Road Entertainment, Edward R. Pressman Film, Iron Film",0
tt0192111,Head Over Heels,composer,5.0,Steve Porcaro,86,Universal Studios,0
tt0457433,Perfect Stranger,actor,6.0,Richard Portnow,109,"Columbia Pictures, Revolution Studios",0
tt0233469,Collateral Damage,actor,6.0,Tyler Posey,108,"David Foster Productions, Bel Air Entertainment, Warner Bros., Hacienda Productions",0
tt0252076,Maid in Manhattan,actor,5.0,Tyler Posey,105,Red Om Films,1
tt0362478,The Box,cinematographer,6.0,Steven Poster,115,"Media Rights Capital, Lin Pictures, Warner Bros., Darko Entertainment, Radar Pictures",0
tt0368933,The Princess Diaries 2: Royal Engagement,actor,6.0,Tom Poston,113,Walt Disney Pictures,1
tt0201394,The Shrink Is In,actor,5.0,Chris Potter,92,,-1
tt0211443,Jason X,actor,5.0,Jonathan Potts,92,"New Line Cinema, Sean S. Cunningham Films, Crystal Lake Entertainment",0
tt0477051,Norbit,actor,4.0,Clifton Powell,102,"DreamWorks SKG, Davis Entertainment, Tollin/Robbins Productions",0
tt0166110,Bones,actor,4.0,Clifton Powell,96,New Line Cinema,0
tt0354766,Never Die Alone,actor,6.0,Clifton Powell,88,"ContentFilm, Visionbox Pictures, White Orchid Films, Fearon Entertainment, Bloodline Films",0
tt0293815,Friday After Next,actor,6.0,Clifton Powell,85,New Line Cinema,0
tt0350258,Ray,actor,8.0,Clifton Powell,152,"Universal Pictures, Bristol Bay Productions, Baldwin Entertainment Group, Anvil Films",2
tt0399901,Woman Thou Art Loosed,actor,7.0,Clifton Powell,94,,1
tt0419946,The Marine,actor,5.0,Drew Powell,92,"Twentieth Century Fox Film Corporation, Pacific Film and Television Commission, WWE Studios",0
tt0367093,Starship Troopers 2: Hero of the Federation,actor,4.0,Drew Powell,88,"Startroop Pictures Inc., Tippett Studio",-1
tt0358082,Robots,composer,6.0,John Powell,91,"Blue Sky Studios, Twentieth Century Fox Animation",2
tt0377471,Be Cool,composer,6.0,John Powell,118,"Double Feature Films, Jersey Films, Nina Saxon Film Design, Metro-Goldwyn-Mayer (MGM)",0
tt0441773,Kung Fu Panda,composer,8.0,John Powell,92,DreamWorks Animation,3
tt0448157,Hancock,composer,6.0,John Powell,92,"Columbia Pictures, Weed Road Pictures, Forward Pass, Relativity Media, Overbrook Entertainment, Blue Light, GH Three",3
tt0451079,Horton Hears a Who!,composer,7.0,John Powell,86,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation",2
tt0431308,P.S. I Love You,composer,7.0,John Powell,126,"Wendy Finerman Productions, Alcon Entertainment, Grosvenor Park Productions",4
tt0327036,Martin Lawrence Live: Runteldat,actress,5.0,Renato Powell,113,,5
tt0345551,Latter Days,actor,7.0,Dave Power,107,TLA Releasing,0
tt0349903,Ocean's Twelve,actor,7.0,Larry Sontag,125,"Village Roadshow Pictures, Section Eight, Jerry Weintraub Productions, Warner Bros., WV Films III",2
tt0369610,Jurassic World,actor,7.0,Chris Pratt,124,"Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu",9
tt0240462,Dr. Dolittle 2,actress,5.0,Kyla Pratt,87,"Twentieth Century Fox Film Corporation, Joseph M. Singer Entertainment, Davis Entertainment",1
tt0435665,House of the Dead 2,actress,4.0,Victoria Pratt,95,Lions Gate Films,-1
tt0318974,The Alamo,actor,6.0,Robert Prentiss,137,"Imagine Entertainment, Touchstone Pictures",0
tt0457308,Come Early Morning,actress,6.0,Laura Prepon,97,"Firm Films, Bold Films, Holly Wiersma Productions",-1
